resource_id,resource_type,catalog_status,readiness_status,reasons,in_effective_pool
agent.accessibility_tester.v1,Agent,active,ready,,True
agent.api_designer.v1,Agent,active,ready,,True
agent.backend_architecture_expert.v1,Agent,active,ready,,True
agent.business_requirements_analyst.v1,Agent,active,ready,,True
agent.code_reviewer.v1,Agent,active,ready,,True
agent.data_analyst.v1,Agent,active,ready,,True
agent.data_engineer.v1,Agent,active,ready,,True
agent.database_optimizer.v1,Agent,active,ready,,True
agent.devops_incident_responder.v1,Agent,active,ready,,True
agent.documentation_engineer.v1,Agent,active,ready,,True
agent.frontend_developer.v1,Agent,active,ready,,True
agent.fullstack_implementation_engineer.v1,Agent,active,ready,,True
agent.performance_engineer.v1,Agent,active,ready,,True
agent.product_manager.v1,Agent,active,ready,,True
agent.refactoring_specialist.v1,Agent,active,ready,,True
agent.research_analyst.v1,Agent,active,ready,,True
agent.root_cause_debugger.v1,Agent,active,ready,,True
agent.search_specialist.v1,Agent,active,ready,,True
agent.security_auditor.v1,Agent,active,ready,,True
agent.test_driven_qa.v1,Agent,active,ready,,True
model.claude_fable_5_1.v1,Model,active,inactive,control_model_outside_candidate_pool,False
model.claude_opus_5.v1,Model,active,blocked,native_strict_schema_not_live_verified,False
model.claude_sonnet_5.v1,Model,active,ready,,True
model.deepseek_v4_1_flash.v1,Model,active,ready,,True
model.deepseek_v4_pro.v1,Model,active,ready,,True
model.gemini_3_8_flash.v1,Model,active,ready,,True
model.glm_5_3.v1,Model,active,ready,,True
model.gpt_5_3_codex.v1,Model,active,ready,,True
model.gpt_5_6_luna.v1,Model,active,ready,,True
model.gpt_5_6_sol.v1,Model,active,ready,,True
model.gpt_5_nano.v1,Model,active,ready,,True
model.gpt_6_astra.v1,Model,active,ready,,True
model.kimi_k2_7_code.v1,Model,active,ready,,True
model.kimi_k3.v1,Model,active,ready,,True
model.qwen3_5_35b_a3b.v1,Model,active,ready,,True
model.qwen3_8_flash.v1,Model,active,ready,,True
model.qwen3_8_max_0902.v1,Model,active,ready,,True
model.qwen3_coder_next.v1,Model,active,blocked,native_strict_schema_not_live_verified,False
model.qwen3_vl_235b_a22b_instruct.v1,Model,active,ready,,True
skill.anthropic.algorithmic-art.v1,Skill,active,ready,,True
skill.anthropic.brand-guidelines.v1,Skill,active,ready,,True
skill.anthropic.canvas-design.v1,Skill,active,ready,,True
skill.anthropic.frontend-design.v1,Skill,active,ready,,True
skill.anthropic.internal-comms.v1,Skill,active,ready,,True
skill.anthropic.mcp-builder.v1,Skill,active,ready,,True
skill.anthropic.skill-creator.v1,Skill,active,ready,,True
skill.anthropic.slack-gif-creator.v1,Skill,active,ready,,True
skill.anthropic.theme-factory.v1,Skill,active,ready,,True
skill.anthropic.webapp-testing.v1,Skill,active,ready,,True
skill.claudekit.mcp-builder.v1,Skill,active,ready,,True
skill.claudekit.ui-styling.v1,Skill,active,ready,,True
skill.neolabhq.actualize.v1,Skill,active,ready,,True
skill.neolabhq.analyse-problem.v1,Skill,active,ready,,True
skill.neolabhq.brainstorm.v1,Skill,active,ready,,True
skill.neolabhq.cause-and-effect.v1,Skill,active,ready,,True
skill.neolabhq.commit.v1,Skill,active,ready,,True
skill.neolabhq.create-ideas.v1,Skill,active,ready,,True
skill.neolabhq.create-workflow-command.v1,Skill,active,ready,,True
skill.neolabhq.decay.v1,Skill,active,ready,,True
skill.neolabhq.design-testing-strategy.v1,Skill,active,ready,,True
skill.neolabhq.fix-tests.v1,Skill,active,ready,,True
skill.neolabhq.git-notes.v1,Skill,active,ready,,True
skill.neolabhq.load-issues.v1,Skill,active,ready,,True
skill.neolabhq.memorize.v1,Skill,active,ready,,True
skill.neolabhq.plan-do-check-act.v1,Skill,active,ready,,True
skill.neolabhq.propose-hypotheses.v1,Skill,active,ready,,True
skill.neolabhq.query.v1,Skill,active,ready,,True
skill.neolabhq.reflect.v1,Skill,active,ready,,True
skill.neolabhq.reset.v1,Skill,active,ready,,True
skill.neolabhq.review-local-changes.v1,Skill,active,ready,,True
skill.neolabhq.status.v1,Skill,active,ready,,True
skill.neolabhq.test-coverage.v1,Skill,active,ready,,True
skill.neolabhq.test-driven-development.v1,Skill,active,ready,,True
skill.neolabhq.test-skill.v1,Skill,active,ready,,True
skill.neolabhq.thought-based-reasoning.v1,Skill,active,ready,,True
skill.neolabhq.traiage-review.v1,Skill,active,ready,,True
skill.neolabhq.why.v1,Skill,active,ready,,True
skill.neolabhq.write-concisely.v1,Skill,active,ready,,True
skill.openai_plugins.agents-sdk.v1,Skill,active,ready,,True
skill.openai_plugins.android-emulator-qa.v1,Skill,active,ready,,True
skill.openai_plugins.batch-draft-writer.v1,Skill,active,ready,,True
skill.openai_plugins.brainstorming.v1,Skill,active,ready,,True
skill.openai_plugins.build-zoom-contact-center-app.v1,Skill,active,ready,,True
skill.openai_plugins.build-zoom-meeting-sdk-app.v1,Skill,active,ready,,True
skill.openai_plugins.build-zoom-virtual-agent.v1,Skill,active,ready,,True
skill.openai_plugins.building-native-ui.v1,Skill,active,ready,,True
skill.openai_plugins.chatgpt-app-submission.v1,Skill,active,ready,,True
skill.openai_plugins.cloudflare.v1,Skill,active,ready,,True
skill.openai_plugins.dashboard-expert.v1,Skill,active,ready,,True
skill.openai_plugins.deal-tracker.v1,Skill,active,ready,,True
skill.openai_plugins.eod-wrapup.v1,Skill,active,ready,,True
skill.openai_plugins.executing-plans.v1,Skill,active,ready,,True
skill.openai_plugins.expo-deployment.v1,Skill,active,ready,,True
skill.openai_plugins.expo-dev-client.v1,Skill,active,ready,,True
skill.openai_plugins.expo-module.v1,Skill,active,ready,,True
skill.openai_plugins.expo-tailwind-setup.v1,Skill,active,ready,,True
skill.openai_plugins.expo-ui-jetpack-compose.v1,Skill,active,ready,,True
skill.openai_plugins.expo-ui-swift-ui.v1,Skill,active,ready,,True
skill.openai_plugins.finishing-a-development-branch.v1,Skill,active,ready,,True
skill.openai_plugins.morning-briefing.v1,Skill,active,ready,,True
skill.openai_plugins.netlify-blobs.v1,Skill,active,ready,,True
skill.openai_plugins.netlify-caching.v1,Skill,active,ready,,True
skill.openai_plugins.netlify-config.v1,Skill,active,ready,,True
skill.openai_plugins.netlify-edge-functions.v1,Skill,active,ready,,True
skill.openai_plugins.netlify-frameworks.v1,Skill,active,ready,,True
skill.openai_plugins.netlify-image-cdn.v1,Skill,active,ready,,True
skill.openai_plugins.probe-sdk.v1,Skill,active,ready,,True
skill.openai_plugins.receiving-code-review.v1,Skill,active,ready,,True
skill.openai_plugins.render-background-workers.v1,Skill,active,ready,,True
skill.openai_plugins.render-cron-jobs.v1,Skill,active,ready,,True
skill.openai_plugins.render-docker.v1,Skill,active,ready,,True
skill.openai_plugins.render-domains.v1,Skill,active,ready,,True
skill.openai_plugins.render-env-vars.v1,Skill,active,ready,,True
skill.openai_plugins.render-keyvalue.v1,Skill,active,ready,,True
skill.openai_plugins.render-networking.v1,Skill,active,ready,,True
skill.openai_plugins.render-postgres.v1,Skill,active,ready,,True
skill.openai_plugins.render-private-services.v1,Skill,active,ready,,True
skill.openai_plugins.render-scaling.v1,Skill,active,ready,,True
skill.openai_plugins.render-static-sites.v1,Skill,active,ready,,True
skill.openai_plugins.render-web-services.v1,Skill,active,ready,,True
skill.openai_plugins.requesting-code-review.v1,Skill,active,ready,,True
skill.openai_plugins.scribe.v1,Skill,active,ready,,True
skill.openai_plugins.setup-zoom-webhooks.v1,Skill,active,ready,,True
skill.openai_plugins.setup-zoom-websockets.v1,Skill,active,ready,,True
skill.openai_plugins.shopify-app-store-review.v1,Skill,active,ready,,True
skill.openai_plugins.shopify-custom-data.v1,Skill,active,ready,,True
skill.openai_plugins.shopify-onboarding-dev.v1,Skill,active,ready,,True
skill.openai_plugins.supabase-postgres-best-practices-be9a8dce.v1,Skill,active,ready,,True
skill.openai_plugins.superhuman-mail.v1,Skill,active,ready,,True
skill.openai_plugins.systematic-debugging.v1,Skill,active,ready,,True
skill.openai_plugins.temporal-developer.v1,Skill,active,ready,,True
skill.openai_plugins.test-driven-development.v1,Skill,active,ready,,True
skill.openai_plugins.ucp.v1,Skill,active,ready,,True
skill.openai_plugins.upgrading-expo.v1,Skill,active,ready,,True
skill.openai_plugins.use-dom.v1,Skill,active,ready,,True
skill.openai_plugins.using-git-worktrees.v1,Skill,active,ready,,True
skill.openai_plugins.using-superpowers.v1,Skill,active,ready,,True
skill.openai_plugins.verification-before-completion.v1,Skill,active,ready,,True
skill.openai_plugins.writing-plans.v1,Skill,active,ready,,True
skill.openai_plugins.writing-skills.v1,Skill,active,ready,,True
skill.openai_plugins.zoom-cobrowse-sdk.v1,Skill,active,ready,,True
skill.openai_plugins.zoom-rtms.v1,Skill,active,ready,,True
skill.openai_plugins.zoom-video-sdk-linux.v1,Skill,active,ready,,True
skill.openai_plugins.zoom-video-sdk-windows.v1,Skill,active,ready,,True
skill.superpowers.brainstorming.v1,Skill,active,ready,,True
skill.superpowers.dispatching-parallel-agents.v1,Skill,active,ready,,True
skill.superpowers.executing-plans.v1,Skill,active,ready,,True
skill.superpowers.finishing-a-development-branch.v1,Skill,active,ready,,True
skill.superpowers.receiving-code-review.v1,Skill,active,ready,,True
skill.superpowers.requesting-code-review.v1,Skill,active,ready,,True
skill.superpowers.systematic-debugging.v1,Skill,active,ready,,True
skill.superpowers.test-driven-development.v1,Skill,active,ready,,True
skill.superpowers.using-git-worktrees.v1,Skill,active,ready,,True
skill.superpowers.using-superpowers.v1,Skill,active,ready,,True
skill.superpowers.verification-before-completion.v1,Skill,active,ready,,True
skill.superpowers.writing-plans.v1,Skill,active,ready,,True
skill.trailofbits.algorand-vulnerability-scanner.v1,Skill,active,ready,,True
skill.trailofbits.ask-questions-if-underspecified.v1,Skill,active,ready,,True
skill.trailofbits.audit-augmentation.v1,Skill,active,ready,,True
skill.trailofbits.audit-context-building.v1,Skill,active,ready,,True
skill.trailofbits.audit-prep-assistant.v1,Skill,active,ready,,True
skill.trailofbits.cairo-vulnerability-scanner.v1,Skill,active,ready,,True
skill.trailofbits.code-maturity-assessor.v1,Skill,active,ready,,True
skill.trailofbits.constant-time-analysis.v1,Skill,active,ready,,True
skill.trailofbits.cosmos-vulnerability-scanner.v1,Skill,active,ready,,True
skill.trailofbits.crypto-protocol-diagram.v1,Skill,active,ready,,True
skill.trailofbits.diagramming-code.v1,Skill,active,ready,,True
skill.trailofbits.differential-review.v1,Skill,active,ready,,True
skill.trailofbits.dimensional-analysis.v1,Skill,active,ready,,True
skill.trailofbits.entry-point-analyzer.v1,Skill,active,ready,,True
skill.trailofbits.fuzzing-dictionary.v1,Skill,active,ready,,True
skill.trailofbits.fuzzing-obstacles.v1,Skill,active,ready,,True
skill.trailofbits.git-cleanup.v1,Skill,active,ready,,True
skill.trailofbits.graph-evolution.v1,Skill,active,ready,,True
skill.trailofbits.guidelines-advisor.v1,Skill,active,ready,,True
skill.trailofbits.harness-writing.v1,Skill,active,ready,,True
skill.trailofbits.insecure-defaults.v1,Skill,active,ready,,True
skill.trailofbits.interpreting-culture-index.v1,Skill,active,ready,,True
skill.trailofbits.let-fate-decide.v1,Skill,active,ready,,True
skill.trailofbits.modern-python.v1,Skill,active,ready,,True
skill.trailofbits.property-based-testing.v1,Skill,active,ready,,True
skill.trailofbits.secure-workflow-guide.v1,Skill,active,ready,,True
skill.trailofbits.sharp-edges.v1,Skill,active,ready,,True
skill.trailofbits.skill-improver.v1,Skill,active,ready,,True
skill.trailofbits.slicing-code-context.v1,Skill,active,ready,,True
skill.trailofbits.solana-vulnerability-scanner.v1,Skill,active,ready,,True
skill.trailofbits.spec-to-code-compliance.v1,Skill,active,ready,,True
skill.trailofbits.substrate-vulnerability-scanner.v1,Skill,active,ready,,True
skill.trailofbits.supply-chain-risk-auditor.v1,Skill,active,ready,,True
skill.trailofbits.token-integration-analyzer.v1,Skill,active,ready,,True
skill.trailofbits.ton-vulnerability-scanner.v1,Skill,active,ready,,True
skill.trailofbits.variant-analysis.v1,Skill,active,ready,,True
skill.trailofbits.vulnerability-triage-brocards.v1,Skill,active,ready,,True
tool.api.agify.v1,Tool,active,ready,,True
tool.api.arxiv.search.v1,Tool,active,transient_failure,network_or_provider_transient,False
tool.api.clinicaltrials.v1,Tool,active,ready,,True
tool.api.coingecko.price.v1,Tool,active,transient_failure,network_or_provider_transient,False
tool.api.crossref.works.v1,Tool,active,ready,,True
tool.api.datamuse_words.v1,Tool,active,ready,,True
tool.api.dictionary.v1,Tool,active,ready,,True
tool.api.dog_ceo.v1,Tool,active,ready,,True
tool.api.exchangerate.convert.v1,Tool,active,ready,,True
tool.api.fda_drug.v1,Tool,active,ready,,True
tool.api.frankfurter.rates.v1,Tool,active,ready,,True
tool.api.fruityvice.v1,Tool,active,ready,,True
tool.api.genderize.v1,Tool,active,ready,,True
tool.api.google_dns.v1,Tool,active,transient_failure,network_or_provider_transient,False
tool.api.hackernews_item.v1,Tool,active,ready,,True
tool.api.ip_api_geo.v1,Tool,active,ready,,True
tool.api.iss_location.v1,Tool,active,ready,,True
tool.api.met_museum_art.v1,Tool,active,ready,,True
tool.api.nager_holidays.v1,Tool,active,ready,,True
tool.api.nationalize.v1,Tool,active,ready,,True
tool.api.nominatim.geocode.v1,Tool,active,transient_failure,network_or_provider_transient,False
tool.api.open_meteo.v1,Tool,active,ready,,True
tool.api.openfoodfacts.product.v1,Tool,active,ready,,True
tool.api.opensky_flights.v1,Tool,active,ready,,True
tool.api.opentrivia.v1,Tool,active,ready,,True
tool.api.poetrydb.v1,Tool,active,ready,,True
tool.api.pokeapi.v1,Tool,active,ready,,True
tool.api.pubmed.esearch.v1,Tool,active,ready,,True
tool.api.randomuser.v1,Tool,active,ready,,True
tool.api.rest_countries.info.v1,Tool,active,ready,,True
tool.api.rickandmorty.v1,Tool,active,ready,,True
tool.api.stackexchange.search.v1,Tool,active,ready,,True
tool.api.thecocktaildb.v1,Tool,active,ready,,True
tool.api.themealdb.v1,Tool,active,ready,,True
tool.api.thesportsdb.v1,Tool,active,ready,,True
tool.api.universities_hipolabs.v1,Tool,active,ready,,True
tool.api.usgs.earthquakes.v1,Tool,active,ready,,True
tool.api.wikipedia.summary.v1,Tool,active,transient_failure,network_or_provider_transient,False
tool.api.worldbank_indicator.v1,Tool,active,ready,,True
tool.bandit_security_scanner.v1,Tool,active,ready,,True
tool.black_format_runner.v1,Tool,active,ready,,True
tool.cargo_test_runner.v1,Tool,active,ready,,True
tool.clang_format_checker.v1,Tool,active,ready,,True
tool.cors_headers_checker.v1,Tool,active,ready,,True
tool.csv_column_filter.v1,Tool,active,ready,,True
tool.dependency_cve_checker.v1,Tool,active,ready,,True
tool.dns_query_latency_checker.v1,Tool,active,ready,,True
tool.docx2text.v1,Tool,active,ready,,True
tool.dotenv_to_json_converter.v1,Tool,active,ready,,True
tool.eslint_checker.v1,Tool,active,ready,,True
tool.eslint_code_formatter.v1,Tool,inactive,inactive,catalog_inactive,False
tool.flake8_lint_runner.v1,Tool,active,ready,,True
tool.git_blame_analyzer.v1,Tool,active,ready,,True
tool.git_branch_cleaner.v1,Tool,active,ready,,True
tool.git_commit_lint.v1,Tool,active,ready,,True
tool.git_diff_stat.v1,Tool,active,ready,,True
tool.git_log_json.v1,Tool,active,ready,,True
tool.git_log_pretty_format.v1,Tool,active,ready,,True
tool.git_merge_conflicts_scanner.v1,Tool,active,ready,,True
tool.git_submodule_status.v1,Tool,active,ready,,True
tool.git_tags_inspector.v1,Tool,active,ready,,True
tool.go_fmt_checker.v1,Tool,active,ready,,True
tool.go_test_coverage.v1,Tool,active,ready,,True
tool.go_test_runner.v1,Tool,active,ready,,True
tool.graphql_schema_validator.v1,Tool,active,ready,,True
tool.html_to_markdown_converter.v1,Tool,active,ready,,True
tool.http_headers_security_auditor.v1,Tool,active,ready,,True
tool.jest_test_runner.v1,Tool,active,ready,,True
tool.json_jq_query_executor.v1,Tool,active,ready,,True
tool.json_to_toml_converter.v1,Tool,active,ready,,True
tool.json_to_yaml.v1,Tool,active,ready,,True
tool.junit_xml_parser.v1,Tool,active,ready,,True
tool.lib.beautifulsoup_scrape.v1,Tool,active,ready,,True
tool.lib.bleach_sanitize.v1,Tool,active,ready,,True
tool.lib.chardet_detect.v1,Tool,active,ready,,True
tool.lib.cryptography_hash_sign.v1,Tool,active,ready,,True
tool.lib.dateparser_parse.v1,Tool,active,ready,,True
tool.lib.detect_secrets.v1,Tool,active,ready,,True
tool.lib.faker_generate.v1,Tool,active,ready,,True
tool.lib.genson_schema.v1,Tool,active,ready,,True
tool.lib.jinja2_render.v1,Tool,active,ready,,True
tool.lib.jsonschema_validate.v1,Tool,active,ready,,True
tool.lib.langdetect_detect.v1,Tool,active,ready,,True
tool.lib.markdown_it_render.v1,Tool,active,ready,,True
tool.lib.networkx_analyze.v1,Tool,active,ready,,True
tool.lib.numpy_linalg.v1,Tool,active,ready,,True
tool.lib.pandas_describe.v1,Tool,active,ready,,True
tool.lib.pandas_pivot.v1,Tool,active,ready,,True
tool.lib.pdfplumber_extract.v1,Tool,active,ready,,True
tool.lib.phonenumbers_parse.v1,Tool,active,ready,,True
tool.lib.pillow_transform.v1,Tool,active,ready,,True
tool.lib.pint_convert.v1,Tool,active,ready,,True
tool.lib.pygments_highlight.v1,Tool,active,ready,,True
tool.lib.pygount_sloc.v1,Tool,active,ready,,True
tool.lib.pypdf_merge.v1,Tool,active,ready,,True
tool.lib.qrcode_generate.v1,Tool,active,ready,,True
tool.lib.radon_complexity.v1,Tool,active,ready,,True
tool.lib.shapely_geometry.v1,Tool,active,ready,,True
tool.lib.sqlglot_transpile.v1,Tool,active,ready,,True
tool.lib.sympy_solve.v1,Tool,active,ready,,True
tool.lib.tablib_convert.v1,Tool,active,ready,,True
tool.lib.validators_check.v1,Tool,active,ready,,True
tool.markdown_table_extractor.v1,Tool,active,ready,,True
tool.markdown_to_html_converter.v1,Tool,active,ready,,True
tool.mcp.fs_create_directory.v1,Tool,active,ready,,True
tool.mcp.fs_directory_tree.v1,Tool,active,ready,,True
tool.mcp.fs_edit_file.v1,Tool,active,ready,,True
tool.mcp.fs_get_file_info.v1,Tool,active,ready,,True
tool.mcp.fs_list_directory.v1,Tool,active,ready,,True
tool.mcp.fs_move_file.v1,Tool,active,ready,,True
tool.mcp.fs_read_file.v1,Tool,active,ready,,True
tool.mcp.fs_read_multiple.v1,Tool,active,ready,,True
tool.mcp.fs_search_files.v1,Tool,active,ready,,True
tool.mcp.fs_write_file.v1,Tool,active,ready,,True
tool.mcp.git_add.v1,Tool,active,ready,,True
tool.mcp.git_branch_list.v1,Tool,active,ready,,True
tool.mcp.git_commit.v1,Tool,active,ready,,True
tool.mcp.git_create_branch.v1,Tool,active,ready,,True
tool.mcp.git_diff_staged.v1,Tool,active,ready,,True
tool.mcp.git_diff_unstaged.v1,Tool,active,ready,,True
tool.mcp.git_log.v1,Tool,active,ready,,True
